City,Latitude,Longitude,Population1,Population
Mumbai,19.0785451,72.878176,1244.2373,12442373
Delhi,28.6273928,77.1716954,1103.4555,11034555
Bangalore,12.9767936,77.590082,844.3675,8443675
Hyderabad,17.360589,78.4740613,673.179,6731790
Ahmedabad,23.0216238,72.5797068,557.794,5577940
Chennai,13.0836939,80.270186,464.6732,4646732
Kolkata,22.5726459,88.3638953,449.6694,4496694
Surat,21.17024,72.831062,446.7797,4467797
Pune,18.521428,73.8544541,312.4458,3124458
Jaipur,26.9154576,75.8189817,304.6163,3046163
Lucknow,26.8381,80.9346001,281.7105,2817105
Kanpur,26.4609135,80.3217588,276.5348,2765348
Nagpur,21.1498134,79.0820556,240.5665,2405665
Indore,22.7203616,75.8681996,196.4086,1964086
Thane,19.2148094,72.9709517,184.1488,1841488
Bhopal,23.2584857,77.401989,179.8218,1798218
Visakhapatnam,17.7231276,83.3012842,172.8128,1728128
Pimpri and Chinchwad,18.5894458,73.7412405,172.7692,1727692
Patna,25.6093239,85.1235252,168.4222,1684222
Vadodara,22.2973142,73.1942567,167.0806,1670806
Ludhiana,30.9090157,75.851601,161.8879,1618879
Agra,27.1752554,78.0098161,158.5704,1585704
Nashik,20.0112475,73.7902364,148.6053,1486053
Faridabad,28.4031478,77.3105561,141.405,1414050
Meerut,29.0006525,77.7682288,130.5429,1305429
Rajkot,22.3053263,70.8028377,128.6678,1286678
Kalyan and Dombivali,19.2558239,73.1424947,124.7327,1247327
Vasai Virar,19.4210423,72.8197221,122.239,1222390
Varanasi,25.3356491,83.0076292,119.8491,1198491
Srinagar,34.0747444,74.8204443,118.057,1180570
Aurangabad,24.786306,84.4144898,117.5116,1175116
Dhanbad,23.7952809,86.4309638,116.2472,1162472
Amritsar,31.6343083,74.8736788,113.2383,1132383
Navi Mumbai,19.0308262,73.0198537,112.0547,1120547
Allahabad,25.4381302,81.8338005,111.2544,1112544
Haora,22.5736296,88.3251045,107.7075,1077075
Ranchi,23.3700501,85.3250387,107.3427,1073427
Gwalior,26.2037247,78.1573628,106.9276,1069276
Jabalpur,23.1608938,79.9497702,105.5525,1055525
Coimbatore,11.0018115,76.9628425,105.0721,1050721
Vijayawada,16.5087573,80.6185089,103.4358,1034358
Jodhpur,26.2967719,73.0351433,103.3756,1033756
Madurai,9.9261153,78.1140983,101.7865,1017865
Raipur,21.2380912,81.6336993,101.0433,1010433
Kota,25.1737019,75.8574194,100.1694,1001694
Chandigarh,30.7298439,76.7841457,96.1587,961587
Guwahati,26.1805978,91.753943,95.7352,957352
Solapur,17.8499067,75.2763203,95.1558,951558
Hubli and Dharwad,15.3507468,75.1418146,94.3788,943788
Bareilly,28.416667,79.383333,90.3668,903668
Mysore,12.3051828,76.6553609,89.3062,893062
Moradabad,28.8638424,78.8057783,88.7871,887871
Gurgaon,28.4282624,77.0027001,87.6969,876969
Aligarh,27.833333,78.166667,87.4408,874408
Jalandhar,31.2920107,75.5680577,86.2886,862886
Tiruchirappalli,10.804973,78.6870296,84.7387,847387
Bhubaneswar,20.2602964,85.8394521,84.3402,843402
Mira and Bhayander,19.292598,72.8519209,80.9378,809378
Thiruvananthapuram,8.4882267,76.947551,74.3691,743691
Bhiwandi,19.3625308,73.0804893,70.9665,709665
Saharanpur,29.9880774,77.5081299,70.5478,705478
Gorakhpur,26.6711433,83.3645724,67.3446,673446
Guntur,16.2915189,80.4541588,64.7508,647508
Amravati,21.1545412,77.6442962,64.7057,647057
Bikaner,28.0159286,73.3171367,64.4406,644406
Noida,28.5706333,77.3272147,63.7272,637272
Jamshedpur,22.8015194,86.2029579,63.1364,631364
Bhilai Nagar,21.2011836,81.3352266,62.57,625700
Warangal,17.9820644,79.5970954,61.5998,615998
Cuttack,20.4686,85.8792,61.0189,610189
Firozabad,27.1773663,78.389912,60.4214,604214
Kochi,9.931233,76.267303,60.2046,602046
Bhavnagar,21.7718836,72.1416449,59.3368,593368
Dehradun,30.3255646,78.0436813,56.9578,569578
Durgapur,23.5350475,87.3380425,56.6517,566517
Asansol,23.6871297,86.9746587,56.3917,563917
Nanded Waghala,19.169335,77.311013,55.0439,550439
Kolapur,23.8964954,71.6246531,54.9236,549236
Ajmer,26.4691,74.639,54.2321,542321
Gulbarga,17.166667,77.083333,53.3587,533587
Ujjain,23.1885131,75.7716562,51.5215,515215
Siliguri,26.7164127,88.4309916,51.3264,513264
